Drug	Sample	Efficacy	Measurement	Value
BAG-956	ipNF95.6	NA	MAXR	2.12547104
AZD-1152-HQPA	ipNF95.6	NA	MAXR	101.6222291
AZ-3146	ipNF95.6	NA	MAXR	11.04657988
AT-7519	ipNF95.6	NA	MAXR	34.06204365
Apratastat	ipNF95.6	NA	MAXR	101.1074383
Apilimod	ipNF95.6	NA	MAXR	83.03474081
AMG-900	ipNF95.6	NA	MAXR	91.73675467
Sotrastaurin	ipNF95.6	NA	MAXR	83.45451295
Iniparib	ipNF95.6	NA	MAXR	88.96892226
Cediranib	ipNF95.6	NA	MAXR	5.38241527
Combretastatin A-4	ipNF95.6	NA	MAXR	93.20205693
CP-466722	ipNF95.6	NA	MAXR	69.22122882
OSI-632	ipNF95.6	NA	MAXR	68.87428515
CP-724714	ipNF95.6	NA	MAXR	115.0591613
Degrasyn	ipNF95.6	NA	MAXR	19.2213519
Pelitinib	ipNF95.6	NA	MAXR	5.06971469
Foretinib	ipNF95.6	NA	MAXR	5.87606433
Turofexorate isopropyl	ipNF95.6	NA	MAXR	109.3381246
Gavestinel sodium	ipNF95.6	NA	MAXR	110.4815862
GB 83	ipNF95.6	NA	MAXR	91.26703255
Vorapaxar	ipNF95.6	NA	MAXR	79.2517075
GDC-0980	ipNF95.6	NA	MAXR	50.93785945
Osanetant	ipNF95.6	NA	MAXR	6.00427145
GSK-3787	ipNF95.6	NA	MAXR	105.3031441
GSK-461364A	ipNF95.6	NA	MAXR	16.82775854
GYKI-53655	ipNF95.6	NA	MAXR	78.52603892
SCH-900435	ipNF95.6	NA	MAXR	67.40436525
Ibutamoren mesilate	ipNF95.6	NA	MAXR	73.93453018
ICG-001	ipNF95.6	NA	MAXR	52.8019755
Panobinostat	ipNF95.6	NA	MAXR	47.58168103
Lirimilast	ipNF95.6	NA	MAXR	80.65717346
Ruboxistaurin mesilate	ipNF95.6	NA	MAXR	9.74336545
MDV-3100	ipNF95.6	NA	MAXR	109.6227319
MG-149	ipNF95.6	NA	MAXR	105.0437237
MK-0354	ipNF95.6	NA	MAXR	104.413088
MK-767	ipNF95.6	NA	MAXR	99.81838682
Nutlin-3	ipNF95.6	NA	MAXR	62.60264757
SG-00529	ipNF95.6	NA	MAXR	35.50969912
Cutamesine hydrochloride	ipNF95.6	NA	MAXR	83.00665347
PD-166793	ipNF95.6	NA	MAXR	73.59586877
PD-0220245	ipNF95.6	NA	MAXR	5.6287925
PD-0332991	ipNF95.6	NA	MAXR	4.89415619
cPEPCK inhibitor	ipNF95.6	NA	MAXR	85.98797911
PF-3845	ipNF95.6	NA	MAXR	86.60488016
PF-477736	ipNF95.6	NA	MAXR	45.62681342
PF-573228	ipNF95.6	NA	MAXR	61.55269705
PF-4708671	ipNF95.6	NA	MAXR	73.53019419
Piraxostat	ipNF95.6	NA	MAXR	98.69394845
Pracinostat	ipNF95.6	NA	MAXR	58.45981798
RD-162	ipNF95.6	NA	MAXR	86.42287536
Regorafenib	ipNF95.6	NA	MAXR	73.59454478
Rolofylline	ipNF95.6	NA	MAXR	88.78203076
Talmapimod	ipNF95.6	NA	MAXR	84.18631975
STF-083010	ipNF95.6	NA	MAXR	57.96091467
Tiplasinin	ipNF95.6	NA	MAXR	98.24852321
VER-155008	ipNF95.6	NA	MAXR	86.27875397
WZ-4002	ipNF95.6	NA	MAXR	9.00923254
BI-78D3	ipNF95.6	NA	MAXR	2.99244607
SR-3306	ipNF95.6	NA	MAXR	59.84866908
A-674563	ipNF95.6	NA	MAXR	2.51040985
Abiraterone	ipNF95.6	NA	MAXR	102.8899089
AEE-788	ipNF95.6	NA	MAXR	5.41444057
Andarine	ipNF95.6	NA	MAXR	104.4658832
JNJ-7706621	ipNF95.6	NA	MAXR	55.18429526
Ponatinib	ipNF95.6	NA	MAXR	5.24734633
AR-42	ipNF95.6	NA	MAXR	39.35508445
AZD-6482	ipNF95.6	NA	MAXR	54.61261255
Belinostat	ipNF95.6	NA	MAXR	19.43123017
Vargatef	ipNF95.6	NA	MAXR	65.02118944
BMS-777607	ipNF95.6	NA	MAXR	80.68693205
Amuvatinib	ipNF95.6	NA	MAXR	108.7288913
OSI-930	ipNF95.6	NA	MAXR	105.9896454
Brivanib	ipNF95.6	NA	MAXR	83.59839442
PF-04217903	ipNF95.6	NA	MAXR	90.8068362
RO-4929097	ipNF95.6	NA	MAXR	98.72158097
SGX-523	ipNF95.6	NA	MAXR	73.78428423
Cabozantinib	ipNF95.6	+	MAXR	37.13304211
PH-797804	ipNF95.6	NA	MAXR	111.1544926
Obatoclax	ipNF95.6	NA	MAXR	18.54372259
SNS-032	ipNF95.6	NA	MAXR	36.03400981
PHA-793887	ipNF95.6	NA	MAXR	59.48200241
Plinabulin	ipNF95.6	NA	MAXR	92.05965045
LY-2940680??	ipNF95.6	NA	MAXR	91.94099522
Serdemetan	ipNF95.6	NA	MAXR	57.69510755
DCC-2036	ipNF95.6	NA	MAXR	16.66000924
Rucaparib	ipNF95.6	NA	MAXR	72.09622439
Ispinesib	ipNF95.6	NA	MAXR	3.95830507
Tosedostat	ipNF95.6	NA	MAXR	96.29435271
BMS-794833	ipNF95.6	NA	MAXR	43.94913133
CUDC-101	ipNF95.6	NA	MAXR	51.5468057
ENMD-981693	ipNF95.6	NA	MAXR	37.1745982
AR-00341677	ipNF95.6	NA	MAXR	93.94961808
Trametinib	ipNF95.6	++	MAXR	74.78951384
GSK-690693	ipNF95.6	NA	MAXR	46.4877303
Mocetinostat	ipNF95.6	NA	MAXR	70.90517813
MK-1775	ipNF95.6	NA	MAXR	87.68040965
MK-0752	ipNF95.6	-	MAXR	89.25029261
Dacomitinib	ipNF95.6	NA	MAXR	5.4201317
SGI-1776	ipNF95.6	NA	MAXR	4.61960301
TAK-733	ipNF95.6	NA	MAXR	91.03287324
YO-01027	ipNF95.6	NA	MAXR	39.47724424
JNJ-38877605	ipNF95.6	NA	MAXR	83.56220815
KU-0064	ipNF95.6	NA	MAXR	81.65004587
PHA-690509	ipNF95.6	NA	MAXR	11.83514354
Silmitasertib	ipNF95.6	NA	MAXR	44.52340441
KI-20227	ipNF95.6	NA	MAXR	58.72285031
SB-216763	ipNF95.6	NA	MAXR	72.80442871
AV-412	ipNF95.6	NA	MAXR	4.33024182
S6K-18	ipNF95.6	NA	MAXR	93.15280789
BMS-5	ipNF95.6	NA	MAXR	58.63840809
Lenvatinib	ipNF95.6	NA	MAXR	33.07248629
AMG-Tie2-1	ipNF95.6	NA	MAXR	61.64140369
RO495	ipNF95.6	NA	MAXR	42.91030946
AMG-51	ipNF95.6	NA	MAXR	2.59044059
NVP-BSK805	ipNF95.6	NA	MAXR	5.22572046
Danusertib	ipNF95.6	NA	MAXR	72.8252088
CYC-116	ipNF95.6	NA	MAXR	21.3626145
Motesanib	ipNF95.6	NA	MAXR	89.11491669
AMG-47a	ipNF95.6	NA	MAXR	54.70663659
QS11	ipNF95.6	NA	MAXR	83.58580658
TW-37	ipNF95.6	NA	MAXR	70.45384023
ML 141	ipNF95.6	NA	MAXR	73.06485952
SANT-2	ipNF95.6	NA	MAXR	82.62863657
JK 184	ipNF95.6	NA	MAXR	110.5058931
SJ-172550	ipNF95.6	NA	MAXR	51.97291108
PF-184	ipNF95.6	NA	MAXR	51.41575748
HC-067047	ipNF95.6	NA	MAXR	67.41882095
Torin-1	ipNF95.6	NA	MAXR	58.91177469
Torin-2	ipNF95.6	NA	MAXR	43.02699277
NVP231	ipNF95.6	NA	MAXR	44.91222975
Teriflunomide	ipNF95.6	NA	MAXR	50.98326952
Elacridar	ipNF95.6	NA	MAXR	93.42637165
Romidepsin	ipNF95.6	NA	MAXR	28.39767618
Ezatiostat	ipNF95.6	NA	MAXR	98.94015179
CAY10581	ipNF95.6	NA	MAXR	5.54932485
CAY10626	ipNF95.6	NA	MAXR	5.541164
D-NMAPPD	ipNF95.6	NA	MAXR	59.33931362
AG-041R	ipNF95.6	NA	MAXR	109.7629809
BAY-60-7550	ipNF95.6	NA	MAXR	92.43563759
BAY-41-8543	ipNF95.6	NA	MAXR	128.7702114
FASN BI	ipNF95.6	NA	MAXR	63.42717859
GSK837149A	ipNF95.6	NA	MAXR	65.95785351
FASN MRK	ipNF95.6	NA	MAXR	95.04430559
PDHK RIKEN	ipNF95.6	NA	MAXR	105.0095345
GLS968	ipNF95.6	NA	MAXR	64.05352007
IPFK2	ipNF95.6	NA	MAXR	79.04203389
IDH-001	ipNF95.6	NA	MAXR	102.2094752
ACC1 BMS	ipNF95.6	NA	MAXR	92.66589539
SM-164	ipNF95.6	NA	MAXR	68.91733894
JZL-184	ipNF95.6	NA	MAXR	96.53355843
Withaferin A	ipNF95.6	NA	MAXR	3.36219817
FMK-MEA	ipNF95.6	NA	MAXR	85.62658225
ASR-isobudimer-SO2Ph-4-CH2OC(O)NMe2	ipNF95.6	NA	MAXR	63.49837181
BTM-2C-dimer ketone	ipNF95.6	NA	MAXR	58.61570059
BTM-2C-dimer allyl oxime	ipNF95.6	NA	MAXR	54.99505884
Alisertib	ipNF95.6	NA	MAXR	79.70882887
Ac-SAH-p53-8	ipNF95.6	NA	MAXR	48.70411365
GSK-1995010	ipNF95.6	NA	MAXR	109.9555722
Deflazacort	ipNF95.6	NA	MAXR	99.07428246
Dutasteride	ipNF95.6	NA	MAXR	72.84472527
Isepamicin	ipNF95.6	NA	MAXR	98.1410442
Linezolid	ipNF95.6	NA	MAXR	106.3076092
Olopatadine hydrochloride	ipNF95.6	NA	MAXR	78.38540231
Ziprasidone hydrochloride	ipNF95.6	NA	MAXR	83.23870587
Dexrazoxane hydrochloride	ipNF95.6	NA	MAXR	99.88343112
StemRegenin 1	ipNF95.6	NA	MAXR	3.82346334
Spautin-1	ipNF95.6	NA	MAXR	91.98554298
Levosimendan	ipNF95.6	NA	MAXR	41.69702894
Gestodene	ipNF95.6	NA	MAXR	67.27886243
Oteracil potassium	ipNF95.6	NA	MAXR	92.84005747
Tubastatin A	ipNF95.6	NA	MAXR	73.38129674
M344	ipNF95.6	NA	MAXR	8.29791269
I-BET762	ipNF95.6	NA	MAXR	76.41413154
Kartogenin	ipNF95.6	NA	MAXR	108.3315547
Carboplatin	ipNF95.6	NA	MAXR	115.4068876
Zolmitriptan	ipNF95.6	NA	MAXR	106.2153046
Epirubicin hydrochloride	ipNF95.6	NA	MAXR	32.13157477
Kanamycin	ipNF95.6	NA	MAXR	99.04864133
Alendronate	ipNF95.6	NA	MAXR	80.42199595
Hyodeoxycholic acid (HDCA)	ipNF95.6	NA	MAXR	96.13234111
Miglitol	ipNF95.6	NA	MAXR	112.0005106
Rifaximin	ipNF95.6	NA	MAXR	115.963755
Nateglinide	ipNF95.6	NA	MAXR	89.43342921
Exemestane	ipNF95.6	NA	MAXR	110.0617203
SB-747651-A	ipNF95.6	NA	MAXR	44.58725745
Wyeth Cot inhibitor-2	ipNF95.6	NA	MAXR	3.70699916
BGJ-398	ipNF95.6	NA	MAXR	4.56619489
AZ-TAK1 Inhibitor	ipNF95.6	NA	MAXR	56.02436034
Trilostane	ipNF95.6	NA	MAXR	104.5471756
Zosuquidar trihydrochloride	ipNF95.6	NA	MAXR	54.64120476
Pimobendan	ipNF95.6	NA	MAXR	125.4940372
Betamethasone valerate	ipNF95.6	NA	MAXR	98.22438319
Desonide	ipNF95.6	NA	MAXR	93.67981084
Eltrombopag olamine	ipNF95.6	NA	MAXR	67.97894758
Itraconazole	ipNF95.6	NA	MAXR	72.78105139
Rabusertib	ipNF95.6	NA	MAXR	44.06677655
YW3-56	ipNF95.6	NA	MAXR	23.8121395
purmorphamine	ipNF95.6	NA	MAXR	94.03044411
STF-62247	ipNF95.6	NA	MAXR	80.21179003
TM-30089	ipNF95.6	NA	MAXR	79.97177859
Calindol	ipNF95.6	NA	MAXR	119.2569519
Manoalide	ipNF95.6	NA	MAXR	82.73478509
Calhex 231	ipNF95.6	NA	MAXR	96.74540328
NPS R568	ipNF95.6	NA	MAXR	99.11649739
AC-265347	ipNF95.6	NA	MAXR	90.98035537
SB262470
NPS-2143	ipNF95.6	NA	MAXR	83.88387766
SB12111	ipNF95.6	NA	MAXR	84.65869319
Cyprodime	ipNF95.6	NA	MAXR	101.755955
J113397	ipNF95.6	NA	MAXR	96.60702738
Piperaquine	ipNF95.6	NA	MAXR	98.92548106
Oxandrolone	ipNF95.6	NA	MAXR	96.49149216
Stanozolol	ipNF95.6	NA	MAXR	66.4189202
Diosmin	ipNF95.6	NA	MAXR	73.93170765
I-BET151	ipNF95.6	NA	MAXR	59.85549158
SGC0946	ipNF95.6	NA	MAXR	4.24210408
UNC1215	ipNF95.6	NA	MAXR	91.46824513
IOX2	ipNF95.6	NA	MAXR	99.90813545
Marizomib	ipNF95.6	NA	MAXR	13.96803765
CPI-613	ipNF95.6	NA	MAXR	95.15836375
NCGC00344990-01	ipNF95.6	NA	MAXR	3.55857747
NCGC00344999-01	ipNF95.6	NA	MAXR	3.71949235
D-159687	ipNF95.6	NA	MAXR	104.4083687
IDE-2	ipNF95.6	NA	MAXR	114.7777757
GSK3 Inhibitor	ipNF95.6	NA	MAXR	75.0884401
Vidofludimus	ipNF95.6	NA	MAXR	76.47697215
KHS101	ipNF95.6	NA	MAXR	69.03119374
Stauprimide	ipNF95.6	NA	MAXR	60.21223273
Robotnikinin	ipNF95.6	NA	MAXR	87.69796025
(-)-Indolactam V	ipNF95.6	NA	MAXR	94.04775291
GSK525768	ipNF95.6	NA	MAXR	75.14540021
3-Methyladenine	ipNF95.6	NA	MAXR	65.84798115
Gandotinib	ipNF95.6	NA	MAXR	28.44768622
PCI-34051	ipNF95.6	NA	MAXR	88.07530399
Dacinostat	ipNF95.6	NA	MAXR	13.61142694
KH-CB19	ipNF95.6	NA	MAXR	76.70690156
NSC-678515	ipNF95.6	NA	MAXR	47.75953391
GMX-1778	ipNF95.6	NA	MAXR	85.41993311
17	-hydroxy Wortmannin	NA	MAXR	61.50342725
PF-3758309	ipNF95.6	NA	MAXR	5.4053777
Eprosartan mesylate	ipNF95.6	NA	MAXR	107.3676129
Compound 7	ipNF95.6	NA	MAXR	77.38860601
ABT-199	ipNF95.6	NA	MAXR	114.0303296
Laropiprant	ipNF95.6	NA	MAXR	107.908801
ASP-3026	ipNF95.6	NA	MAXR	52.37386218
AN2728	ipNF95.6	NA	MAXR	105.6300729
EMD-1214063	ipNF95.6	NA	MAXR	36.15045379
MLN-4924	ipNF95.6	NA	MAXR	89.94991935
AZD-5363	ipNF95.6	-	MAXR	31.48299272
GSK-2636771	ipNF95.6	NA	MAXR	68.59528635
AP-761	ipNF95.6	NA	MAXR	101.2709676
BMS-911543	ipNF95.6	NA	MAXR	52.69198715
Oprozomib	ipNF95.6	NA	MAXR	8.32594553
CVT-6883	ipNF95.6	NA	MAXR	62.51936435
AP-768	ipNF95.6	NA	MAXR	107.691827
ACY-1215	ipNF95.6	NA	MAXR	60.41584718
AVN-944	ipNF95.6	NA	MAXR	77.21111097
ARRY-162	ipNF95.6	NA	MAXR	86.97944127
STX-0119	ipNF95.6	NA	MAXR	69.67139649
CAA0225	ipNF95.6	NA	MAXR	65.16165806
BP-1-102	ipNF95.6	NA	MAXR	25.03430077
RGB-286147	ipNF95.6	NA	MAXR	37.99458853
Tetrahydrouridine	ipNF95.6	NA	MAXR	113.1375474
LLL-12	ipNF95.6	NA	MAXR	5.20698307
Ingenol mebutate	ipNF95.6	NA	MAXR	58.09070482
Icaritin	ipNF95.6	NA	MAXR	60.62148069
MG-115	ipNF95.6	NA	MAXR	19.41937542
GM-1489	ipNF95.6	NA	MAXR	92.04256341
GM-6001	ipNF95.6	NA	MAXR	106.5666279
Ximelagatran	ipNF95.6	NA	MAXR	99.06329748
Estetrol	ipNF95.6	NA	MAXR	89.10089314
AG-13958	ipNF95.6	NA	MAXR	78.66284638
Akt-I-1	ipNF95.6	NA	MAXR	64.94308532
Akt-I-1,2	ipNF95.6	NA	MAXR	33.84758423
BMS-2	ipNF95.6	NA	MAXR	18.04876485
BMS-3	ipNF95.6	NA	MAXR	64.33103964
CC-401	ipNF95.6	NA	MAXR	66.07159775
Merck 5	ipNF95.6	NA	MAXR	84.47064964
PD-173955	ipNF95.6	NA	MAXR	80.32850928
PD-173955 Analogue 1	ipNF95.6	NA	MAXR	95.86246102
SB-242235	ipNF95.6	NA	MAXR	69.10478627
SD-06	ipNF95.6	NA	MAXR	99.7255677
SR-3677	ipNF95.6	NA	MAXR	73.2075136
TAK-715	ipNF95.6	NA	MAXR	95.73416401
SMI-4a	ipNF95.6	NA	MAXR	89.40033292
GNE-490	ipNF95.6	NA	MAXR	40.12537148
GNE-493	ipNF95.6	NA	MAXR	54.84046728
Baricitinib	ipNF95.6	NA	MAXR	60.52285574
Merck-22-6	ipNF95.6	NA	MAXR	2.33286495
S-99	ipNF95.6	NA	MAXR	94.2733827
GSK-25	ipNF95.6	NA	MAXR	83.65756612
AMG-25	ipNF95.6	NA	MAXR	70.8633436
Bayer-18	ipNF95.6	NA	MAXR	90.7826966
TG-89	ipNF95.6	NA	MAXR	25.34972352
TG-46	ipNF95.6	NA	MAXR	21.72581889
JNJ-38158471	ipNF95.6	NA	MAXR	97.93564613
AMG-1	ipNF95.6	NA	MAXR	85.0594629
NIBR-17	ipNF95.6	NA	MAXR	50.71312136
AS-602801	ipNF95.6	NA	MAXR	18.36562325
GNE-477	ipNF95.6	NA	MAXR	37.17533741
BS-194	ipNF95.6	NA	MAXR	60.55197569
JNJ-28312141	ipNF95.6	NA	MAXR	27.8753639
CEP-33779	ipNF95.6	NA	MAXR	62.77481416
GPLG-0634	ipNF95.6	NA	MAXR	55.01005909
AZD-26	ipNF95.6	NA	MAXR	81.61541784
CGI-1746	ipNF95.6	NA	MAXR	53.50916679
Takeda-6d	ipNF95.6	NA	MAXR	75.45964115
Conivaptan hydrochloride	ipNF95.6	NA	MAXR	105.1504199
GSK429286A	ipNF95.6	NA	MAXR	80.78020826
L-779450	ipNF95.6	NA	MAXR	59.63547165
Omigapil	ipNF95.6	NA	MAXR	102.805946
Peramivir	ipNF95.6	NA	MAXR	96.74729947
Imipenem	ipNF95.6	NA	MAXR	99.38134808
Niraparib	ipNF95.6	NA	MAXR	78.90143809
CCT-241533	ipNF95.6	NA	MAXR	5.65693165
Vosaroxin	ipNF95.6	NA	MAXR	58.67240768
Retaspimycin	ipNF95.6	NA	MAXR	60.94820553
Diclofensine	ipNF95.6	NA	MAXR	97.06949689
Sumanirole maleate	ipNF95.6	NA	MAXR	91.85612259
ABC-294640	ipNF95.6	NA	MAXR	85.26502865
Rupintrivir	ipNF95.6	NA	MAXR	110.0540362
VE-821	ipNF95.6	NA	MAXR	98.87667236
D-106669	ipNF95.6	NA	MAXR	67.36679448
Tariquidar	ipNF95.6	NA	MAXR	44.01973491
Parogrelil	ipNF95.6	NA	MAXR	3.83644749
Triciribine phosphate	ipNF95.6	NA	MAXR	36.79281719
BMS-754807	ipNF95.6	NA	MAXR	55.75349657
Cobimetinib	ipNF95.6	NA	MAXR	68.42822554
Macitentan	ipNF95.6	NA	MAXR	115.8359189
BAY-80-6946	ipNF95.6	NA	MAXR	49.69740414
MLN-2480	ipNF95.6	NA	MAXR	60.90295442
LY-2874455	ipNF95.6	NA	MAXR	8.93327024
BMS-536924	ipNF95.6	NA	MAXR	39.05889386
NVP-AEW541	ipNF95.6	NA	MAXR	98.41653936
Sofosbuvir	ipNF95.6	NA	MAXR	102.7558184
Nesbuvir	ipNF95.6	NA	MAXR	48.59538637
ARRY-520	ipNF95.6	NA	MAXR	71.78900033
GDC-0349	ipNF95.6	NA	MAXR	48.34268064
VCH-916	ipNF95.6	NA	MAXR	124.9692127
17 alpha-propionate	ipNF95.6	NA	MAXR	102.510717
Delanzomib	ipNF95.6	NA	MAXR	16.01267013
Zilpaterol	ipNF95.6	NA	MAXR	95.03946387
Rebeccamycin	ipNF95.6	NA	MAXR	65.91029528
NMP	ipNF95.6	NA	MAXR	93.00141461
Birinapant	ipNF95.6	NA	MAXR	76.40778039
Telotristat etiprate	ipNF95.6	NA	MAXR	19.61188044
Emricasan	ipNF95.6	NA	MAXR	101.1928572
AST-1306	ipNF95.6	NA	MAXR	17.48144948
Ridaforolimus	ipNF95.6	NA	MAXR	96.02064126
Mesna disulfide	ipNF95.6	NA	MAXR	107.5610714
AC-480	ipNF95.6	NA	MAXR	86.39745244
ZSTK-474	ipNF95.6	NA	MAXR	47.58095386
ADW-742	ipNF95.6	NA	MAXR	4.28106558
Abexinostat	ipNF95.6	NA	MAXR	45.69946404
Quisinostat hydrochloride	ipNF95.6	NA	MAXR	33.61194006
MLN-8054	ipNF95.6	NA	MAXR	105.1619636
BTZ-10526043	ipNF95.6	NA	MAXR	100.0832916
OSU-03012	ipNF95.6	NA	MAXR	2.29631851
Varespladib	ipNF95.6	NA	MAXR	89.70704759
XL-147	ipNF95.6	NA	MAXR	67.33259012
AT-9283	ipNF95.6	NA	MAXR	4.51148844
E-7010	ipNF95.6	NA	MAXR	92.01339469
TGX-221	ipNF95.6	NA	MAXR	58.97309833
WZ-3146	ipNF95.6	NA	MAXR	4.10298205
WZ-8040	ipNF95.6	NA	MAXR	4.07970822
Danoprevir	ipNF95.6	NA	MAXR	112.2398373
Ostarine	ipNF95.6	NA	MAXR	95.50377398
PIK-75	ipNF95.6	NA	MAXR	4.87699551
Bleomycin sulfate	ipNF95.6	NA	MAXR	73.81197775
Dienogest	ipNF95.6	NA	MAXR	107.2108837
Perifosine	ipNF95.6	NA	MAXR	80.48055691
Avagacestat	ipNF95.6	NA	MAXR	95.15694599
Epothilone A	ipNF95.6	NA	MAXR	82.67707897
LY-2886721	ipNF95.6	NA	MAXR	102.7513413
AMG-208	ipNF95.6	NA	MAXR	97.20987016
TG-100115	ipNF95.6	NA	MAXR	61.13732217
GSK-615	ipNF95.6	NA	MAXR	27.46611879
MGCD-265	ipNF95.6	NA	MAXR	78.83096073
ON-01910	ipNF95.6	NA	MAXR	79.15424149
BMS-707035	ipNF95.6	NA	MAXR	87.01887282
Amonafide	ipNF95.6	NA	MAXR	44.67695331
Bafetinib	ipNF95.6	NA	MAXR	3.6940475
Biapenem	ipNF95.6	NA	MAXR	91.92371964
Cefoselis sulfate	ipNF95.6	NA	MAXR	94.53601764
Daptomycin	ipNF95.6	NA	MAXR	120.775072
Meropenem	ipNF95.6	NA	MAXR	101.6564672
Teicoplanin	ipNF95.6	NA	MAXR	101.4691435
Bimatoprost	ipNF95.6	NA	MAXR	91.52710497
Risedronate sodium	ipNF95.6	NA	MAXR	111.9555103
A-922500	ipNF95.6	NA	MAXR	96.16641222
Azalomycin-B	ipNF95.6	NA	MAXR	4.18410608
Nanchangmycin	ipNF95.6	NA	MAXR	4.15618579
Aurora A Inhibitor I	ipNF95.6	NA	MAXR	2.89411949
PHA-680632	ipNF95.6	NA	MAXR	67.10787094
FG-4592	ipNF95.6	NA	MAXR	107.2300639
Safinamide mesilate	ipNF95.6	NA	MAXR	5.39353876
Pimasertib	ipNF95.6	NA	MAXR	77.47556522
Oligomycin A	ipNF95.6	NA	MAXR	35.85766255
Lomibuvir	ipNF95.6	NA	MAXR	111.8427561
Daclatasvir dihydrochloride	ipNF95.6	NA	MAXR	32.18124382
MC-1568	ipNF95.6	NA	MAXR	92.94221722
IVX-214	ipNF95.6	NA	MAXR	66.29370209
PIK-93	ipNF95.6	NA	MAXR	47.31281669
LY-2228820	ipNF95.6	NA	MAXR	78.37733223
Natamycin	ipNF95.6	NA	MAXR	85.73652953
CCT-129202	ipNF95.6	NA	MAXR	69.50074604
Fesoterodine fumarate	ipNF95.6	NA	MAXR	84.3162712
XL-765	ipNF95.6	NA	MAXR	58.05391611
Hesperadin	ipNF95.6	NA	MAXR	3.17120477
BIX 02188	ipNF95.6	NA	MAXR	69.19721522
BIX 02189	ipNF95.6	NA	MAXR	70.53708275
Telaprevir	ipNF95.6	NA	MAXR	101.6160293
MK-3207	ipNF95.6	NA	MAXR	116.524404
PHT-427	ipNF95.6	NA	MAXR	86.21792705
KRN-633	ipNF95.6	NA	MAXR	49.68818493
AT-7867	ipNF95.6	NA	MAXR	42.02099328
Lumacaftor	ipNF95.6	NA	MAXR	7.47599621
Pomalidomide	ipNF95.6	NA	MAXR	97.17161998
PD-318088	ipNF95.6	NA	MAXR	80.14034901
BS-181	ipNF95.6	NA	MAXR	16.66011941
Tie-2 kinase inhibitor	ipNF95.6	NA	MAXR	118.0214449
Apixaban	ipNF95.6	NA	MAXR	94.46354827
Semagacestat	ipNF95.6	NA	MAXR	90.15101545
Erteberel	ipNF95.6	NA	MAXR	73.02219983
Silodosin	ipNF95.6	NA	MAXR	98.67436632
Erythromycin	ipNF95.6	NA	MAXR	106.9431853
Telbivudine	ipNF95.6	NA	MAXR	110.8557126
Emtricitabine	ipNF95.6	NA	MAXR	101.9282297
Cefditoren pivoxil	ipNF95.6	NA	MAXR	103.4673537
Teniposide	ipNF95.6	NA	MAXR	73.85682124
Elvitegravir	ipNF95.6	NA	MAXR	93.27041777
Roflumilast	ipNF95.6	NA	MAXR	110.4701214
AZD-8330	ipNF95.6	NA	MAXR	93.95291277
GSK-1292263A	ipNF95.6	NA	MAXR	97.49193623
KW-2449	ipNF95.6	NA	MAXR	54.08271224
Tebipenem pivoxil	ipNF95.6	NA	MAXR	104.8249581
SB-743921	ipNF95.6	NA	MAXR	4.38587616
Avasimibe	ipNF95.6	NA	MAXR	88.58492477
Sapitinib	ipNF95.6	NA	MAXR	61.70785796
Lexibulin hydrochloride	ipNF95.6	NA	MAXR	106.9781886
Dabigatran	ipNF95.6	NA	MAXR	107.9902326
A-966492	ipNF95.6	NA	MAXR	88.29980291
RAF-265 derivative	ipNF95.6	NA	MAXR	63.07002375
OSI-420	ipNF95.6	NA	MAXR	58.43858131
PIK-293	ipNF95.6	NA	MAXR	89.90179616
Vinflunine	ipNF95.6	NA	MAXR	81.87898711
AZ-960	ipNF95.6	NA	MAXR	40.60030817
Mubritinib	ipNF95.6	NA	MAXR	98.56883755
Amygdalin	ipNF95.6	NA	MAXR	80.24709593
Asiatic acid	ipNF95.6	NA	MAXR	101.4149485
PNU-200577	ipNF95.6	NA	MAXR	104.1328736
Baicalin	ipNF95.6	NA	MAXR	112.3709953
Bergenin	ipNF95.6	NA	MAXR	96.30469919
Bilobalide	ipNF95.6	NA	MAXR	95.07537107
Cinchonidine	ipNF95.6	NA	MAXR	95.3900637
Artenimol	ipNF95.6	NA	MAXR	92.64262778
Rotundine	ipNF95.6	NA	MAXR	86.36779857
Icariin	ipNF95.6	NA	MAXR	87.60471996
Matrine	ipNF95.6	NA	MAXR	104.3377767
Oleanolic acid	ipNF95.6	NA	MAXR	70.49532923
Oridonin	ipNF95.6	NA	MAXR	9.92606583
Oxymatrine	ipNF95.6	NA	MAXR	99.00170662
Puerarin	ipNF95.6	NA	MAXR	82.15076418
Shikimic acid	ipNF95.6	NA	MAXR	102.4057651
Dioscin	ipNF95.6	NA	MAXR	4.96298215
Lappaconitine	ipNF95.6	NA	MAXR	94.99180356
Dihydromyricetin	ipNF95.6	NA	MAXR	66.61006249
Sodium Danshensu	ipNF95.6	NA	MAXR	102.1722327
Cyclovirobuxin D	ipNF95.6	NA	MAXR	73.94696327
Curcumol	ipNF95.6	NA	MAXR	99.54761976
Astragaloside A	ipNF95.6	NA	MAXR	89.77366049
Gentamycin sulfate	ipNF95.6	NA	MAXR	93.35443847
Pantothenic acid	ipNF95.6	NA	MAXR	87.36768685
LY-2140023	ipNF95.6	NA	MAXR	97.76102965
Disufenton sodium	ipNF95.6	NA	MAXR	108.6121372
PIK-294	ipNF95.6	NA	MAXR	78.78987072
TAME	ipNF95.6	NA	MAXR	118.3898994
AZD-5438	ipNF95.6	NA	MAXR	29.03593284
